block,【full】,【without CRM】,【without FRM】,【without IPM】,【without LayerNorm】,【without dropout】
0,3.863466994431362,4.907995718747485,4.4782911988127285,4.201488256645533,4.258064364720865,4.167754209053589
1,4.021971040516972,4.809815383137227,4.403569285009964,4.160824053189065,4.150853381553517,4.237749875712369
2,3.984763366814026,4.865692421455629,4.438218707406957,4.161062339796591,4.1825367225073675,4.447917509722768
3,4.030134283292305,4.766093593654028,4.308504083990836,4.231250141323536,4.078869377640118,4.346739609923703
4,4.059795844190795,4.844788823160464,4.254910978002062,4.172772645107355,4.115589595325124,4.188428666749602
5,3.9648379464590455,4.747116696358474,4.4458901439774525,4.163291930568187,4.033857746833686,4.329449046421091
6,3.993224685627836,4.795633554997631,4.246097563643721,4.160485885700243,4.1187991615126816,4.356510498635018
7,4.024345177844001,4.831758716274799,4.3631324197819135,4.329620910679989,4.261052765530558,3.970622452255654
8,4.022796154632091,4.791684831791998,4.268080798193937,4.117276416712997,4.193398339546477,4.246852721562479
9,3.966360751293188,4.854148495307351,4.168796080512897,4.3123957270460584,4.1824913633964504,4.1040677354920145
